Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
"Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked number0 mile from the car to a stream , and number1 mile from the stream to a meadow . Then they hiked number2 mile from the meadow to the campsite . How many miles did Irwin 's family hike in all ?",0.2 0.4 0.1,+ + number0 number1 number2,0.7,"[29, 30, 31, 39, 40, 41, 51, 52, 53, 68, 69, 70]","Irwin 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked number0 mile from the car to a stream , and number1 mile from the stream to a meadow . Then they hiked number2 mile from the meadow to the campsite .",How many miles did Irwin 's family hike in all ?,"Anderson 's family went on a camping trip in the mountains . On the first day , they hiked from their car to the campsite . First , they hiked 3730 mile from the car to a stream , and 3731 mile from the stream to a meadow . Then they hiked 3732 mile from the meadow to the campsite . How many miles did Anderson 's family hike in all ?","앤더슨의 가족은 산으로 캠핑을 갔습니다. 첫째날, 그들은 그들의 차에서 캠프장까지 하이킹했다. 먼저, 그들은 자동차로부터 개울로 3730마일, 그리고 개울에서 초원으로 3731마일을 하이킹했습니다. 그리고 나서 그들은 초원에서 캠프장까지 3732마일을 하이킹했다. 앤더슨의 가족은 모두 몇 마일이나 하이킹을 했습니까?","지현의 가족은 산으로 캠핑을 갔습니다 . 첫째날 , 그들은 그들의 차에서 캠프장까지 하이킹했다 . 먼저 , 그들은 자동차로부터 개울로 number0마일 , 그리고 개울에서 초원으로 number1마일을 하이킹했습니다 . 그리고 나서 그들은 초원에서 캠프장까지 number2마일을 하이킹했다 . 지현의 가족은 모두 몇 마일이나 하이킹을 했습니까 ?","[18, 19, 20, 23, 24, 25, 31, 32, 33, 39, 40, 41]"
"In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them , how many points would you earn ?",7.0 11.0 8.0,* number0 - number1 number2,21.0,"[9, 10, 11, 16, 17, 18, 24, 25, 26, 32, 33, 34]","In a video game , each enemy defeated gives you number0 points . If a level has number1 enemies total and you destroy all but number2 of them ,",how many points would you earn ?,"In a video game , each enemy defeated gives you 3730 points . If a level has 3731 enemies total and you destroy all but 3732 of them , how many points would you earn ?","비디오 게임에서, 패배한 각각의 적들은 당신에게 3730 포인트를 줍니다. 만약 레벨이 3731 적들을 총합하고 당신이 그것들의 3732를 제외한 모든 것을 파괴한다면, 당신은 얼마나 많은 점수를 얻겠습니까?","비디오 게임에서 , 패배한 각각의 적들은 당신에게 number0 포인트를 줍니다 . 만약 레벨이 number1 적들을 총합하고 당신이 그것들의 number2를 제외한 모든 것을 파괴한다면 , 당신은 얼마나 많은 점수를 얻겠습니까 ?","[6, 7, 8, 12, 13, 14, 17, 18, 19, 26, 27, 28]"
Jonah added number0 cup of yellow raisins and number1 cup of black raisins to a batch of trail mix . How many cups of raisins did Jonah add in all ?,0.3 0.4,+ number0 number1,0.7,"[1, 2, 3, 7, 8, 9, 27, 28, 29]",Jonah added number0 cup of yellow raisins and number1 cup of black raisins to a batch of trail mix .,How many cups of raisins did Jonah add in all ?,Anderson added 3730 cup of yellow raisins and 3731 cup of black raisins to a batch of trail mix . How many cups of raisins did Anderson add in all ?,앤더슨은 트레일 믹스에 3730컵의 노란 건포도와 3731컵의 검은 건포도를 첨가했다. 앤더슨은 모두 몇 컵의 건포도를 넣었는가?,지훈은 트레일 믹스에 number0컵의 노란 건포도와 number1컵의 검은 건포도를 첨가했다 . 지훈은 모두 몇 컵의 건포도를 넣었는가 ?,"[2, 3, 4, 5, 6, 7, 14, 15, 16]"
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes . How many ounces of soap will Mrs. Hilt use to wash number1 pounds of clothes ?,2.0 9.0,* number0 number1,18.0,"[2, 3, 4, 24, 25, 26, 26, 27, 28]",Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,How many ounces of soap will Mrs. Hilt use to wash number1 pounds of clothes ?,Mrs. Anderson uses 3730 ounces of detergent to wash a pound of clothes . How many ounces of soap will Mrs. Anderson use to wash 3731 pounds of clothes ?,앤더슨 부인은 1파운드의 옷을 세탁하기 위해 3730온스의 세제를 사용한다. 부인은 비누를 몇 온스나 마실 것이다. 앤더슨은 3731파운드의 옷을 세탁하곤 했습니까?,유나 부인은 1파운드의 옷을 세탁하기 위해 number0온스의 세제를 사용한다 . 부인은 비누를 몇 온스나 마실 것이다 . 유나는 number1파운드의 옷을 세탁하곤 했습니까 ?,"[5, 6, 7, 17, 18, 19, 19, 20, 21]"
"April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies , how much did she spend ?",3.0 5.0 4.0,* number0 + number1 number2,27.0,"[11, 12, 13, 17, 18, 19, 20, 21, 22, 26, 27, 28]","April 's discount flowers was having a sale where each flower was number0 dollars . If Robin bought number1 roses and number2 daisies ,",how much did she spend ?,"April 's discount flowers was having a sale where each flower was 3730 dollars . If Anderson bought 3731 roses and 3732 daisies , how much did she spend ?","에이프릴의 할인 꽃은 한 송이당 3730달러인 세일을 하고 있었다. 만약 앤더슨이 3731개의 장미와 3732개의 데이지들을 샀다면, 그녀는 얼마를 썼을까?","에이프릴의 할인 꽃은 한 송이당 number0달러인 세일을 하고 있었다 . 만약 지현이 number1개의 장미와 number2개의 데이지들을 샀다면 , 그녀는 얼마를 썼을까 ?","[4, 5, 6, 11, 12, 13, 14, 15, 18, 19, 20]"
Brenda wants to split a collection of erasers into groups of number0 . Brenda has number1 erasers . How many groups will be created ?,90.0 270.0,/ number1 number0,3.0,"[10, 11, 12, 14, 15, 16, 21, 22, 23]",Brenda wants to split a collection of erasers into groups of number0 . Brenda has number1 erasers .,How many groups will be created ?,Anderson wants to split a collection of erasers into groups of 3730 . Anderson has 3731 erasers . How many groups will be created ?,앤더슨은 지우개 컬렉션을 3730개의 그룹으로 나누고자 합니다. 앤더슨은 3731개의 지우개를 가지고 있습니다. 얼마나 많은 그룹이 생성됩니까?,지현은 지우개 컬렉션을 number0개의 그룹으로 나누고자 합니다 . 지현은 number1개의 지우개를 가지고 있습니다 . 얼마나 많은 그룹이 생성됩니까 ?,"[2, 3, 4, 8, 9, 10, 15, 16, 17]"
Alyssa 's dog had puppies . She gave number0 to her friends . She now has number1 puppies . How many puppies did she have to start with ?,7.0 5.0,+ number0 number1,12.0,"[7, 8, 9, 15, 16, 17, 25, 26, 27]",Alyssa 's dog had puppies . She gave number0 to her friends . She now has number1 puppies .,How many puppies did she have to start with ?,Anderson 's dog had puppies . She gave 3730 to her friends . She now has 3731 puppies . How many puppies did she have to start with ?,앤더슨의 개는 강아지를 키웠습니다. 그녀는 3730을 친구들에게 주었다. 그녀는 현재 3731마리의 강아지를 키우고 있다. 그녀는 얼마나 많은 강아지들로 시작했는가?,지훈의 개는 강아지를 키웠습니다 . 그녀는 number0을 친구들에게 주었다 . 그녀는 현재 number1마리의 강아지를 키우고 있다 . 그녀는 얼마나 많은 강아지들로 시작했는가 ?,"[5, 6, 7, 11, 12, 13, 19, 20, 21]"
We ordered number0 pizzas . Each pizza has number1 slices . How many slices of pizza are there altogether ?,21.0 8.0,* number0 number1,168.0,"[1, 2, 3, 7, 8, 9, 16, 17, 18]",We ordered number0 pizzas . Each pizza has number1 slices .,How many slices of pizza are there altogether ?,We ordered 3730 pizzas . Each pizza has 3731 slices . How many slices of pizza are there altogether ?,우리는 3730개의 피자를 주문했다. 각각의 피자는 3731조각이다. 피자는 모두 몇 조각이나 됩니까?,우리는 number0개의 피자를 주문했다 . 각각의 피자는 number1조각이다 . 피자는 모두 몇 조각이나 됩니까 ?,"[0, 1, 2, 6, 7, 8, 11, 12, 13]"
A car company produced number0 cars in North America and number1 cars in Europe . How many cars is that in all ?,3884.0 2871.0,+ number0 number1,6755.0,"[3, 4, 5, 9, 10, 11, 19, 20, 21]",A car company produced number0 cars in North America and number1 cars in Europe .,How many cars is that in all ?,A car company produced 3730 cars in North America and 3731 cars in Europe . How many cars is that in all ?,한 자동차 회사는 북미에서 3730대의 자동차를 생산했고 유럽에서는 3731대의 자동차를 생산했다. 모두 몇 대의 차입니까?,한 자동차 회사는 북미에서 number0대의 자동차를 생산했고 유럽에서는 number1대의 자동차를 생산했다 . 모두 몇 대의 차입니까 ?,"[3, 4, 5, 7, 8, 9, 13, 14, 15]"
The school is planning a field trip . There are number0 students and number1 seats on each school bus . How many buses are needed to take the trip ?,45.0 9.0,/ number0 number1,5.0,"[9, 10, 11, 12, 13, 14, 26, 27, 28]",The school is planning a field trip . There are number0 students and number1 seats on each school bus .,How many buses are needed to take the trip ?,The school is planning a field trip . There are 3730 students and 3731 seats on each school bus . How many buses are needed to take the trip ?,학교는 견학을 계획하고 있다. 각 스쿨버스에는 3730명의 학생과 3731명의 좌석이 있다. 그 여행을 가려면 몇 대의 버스가 필요합니까?,학교는 견학을 계획하고 있다 . 각 스쿨버스에는 number0명의 학생과 number1명의 좌석이 있다 . 그 여행을 가려면 몇 대의 버스가 필요합니까 ?,"[6, 7, 8, 9, 10, 17, 18, 19]"
"Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns . How much money does Sam have ?",9.0 7.0,+ * number0 0.01 * number1 0.25,1.84,"[1, 2, 3, 8, 9, 10, 18, 19, 20]","Sam got number0 pennies for washing clothes , and number1 quarters for mowing lawns .",How much money does Sam have ?,"Anderson got 3730 pennies for washing clothes , and 3731 quarters for mowing lawns . How much money does Anderson have ?","Anderson은 옷을 세탁하는 데 3730 페니를 받았고, 잔디를 깎는 데 3731 쿼터를 받았습니다. 앤더슨은 얼마나 많은 돈을 가지고 있습니까?","민우는 옷을 세탁하는 데 number0 페니를 받았고 , 잔디를 깎는 데 number1 쿼터를 받았습니다 . 민우는 얼마나 많은 돈을 가지고 있습니까 ?","[3, 4, 5, 10, 11, 12, 18, 19, 20]"
Tim has number0 books . Sam has number1 books . How many books do they have together ?,44.0 52.0,+ number0 number1,96.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Tim has number0 books . Sam has number1 books .,How many books do they have together ?,Anderson has 3730 books . Cyndia has 3731 books . How many books do they have together ?,앤더슨은 3730권의 책을 가지고 있다. 신디아는 3731권의 책을 가지고 있다. 그들은 몇 권의 책을 함께 가지고 있나요?,윤재는 number0권의 책을 가지고 있다 . 서희는 number1권의 책을 가지고 있다 . 그들은 몇 권의 책을 함께 가지고 있나요 ?,"[0, 1, 2, 6, 7, 8, 16, 17, 18]"
"The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages , how many pages do all the books have in total ?",8.0 478.0,* number0 number1,3824.0,"[17, 18, 19, 24, 25, 26, 35, 36, 37]","The library is divided into different sections for different type of books . The science fiction section has number0 books . If each book has number1 pages ,",how many pages do all the books have in total ?,"The library is divided into different sections for different type of books . The science fiction section has 3730 books . If each book has 3731 pages , how many pages do all the books have in total ?","도서관은 다른 종류의 책을 위해 다른 구역으로 나뉜다. 공상과학 섹션은 3730권의 책을 가지고 있다. 만약 각 책이 3731페이지를 가지고 있다면, 모든 책들은 총 몇 페이지를 가지고 있는가?","도서관은 다른 종류의 책을 위해 다른 구역으로 나뉜다 . 공상과학 섹션은 number0권의 책을 가지고 있다 . 만약 각 책이 number1페이지를 가지고 있다면 , 모든 책들은 총 몇 페이지를 가지고 있는가 ?","[10, 11, 12, 18, 19, 20, 27, 28, 29]"
Warren has number0 guests coming to his party . Each table will hold number1 guests . How many tables will he need ?,252.0 4.0,/ number0 number1,63.0,"[1, 2, 3, 12, 13, 14, 19, 20, 21]",Warren has number0 guests coming to his party . Each table will hold number1 guests .,How many tables will he need ?,Anderson has 3730 guests coming to his party . Each table will hold 3731 guests . How many tables will he need ?,앤더슨은 3730명의 손님이 그의 파티에 온다. 각 테이블에는 3731명의 손님이 모일 것이다. 그는 몇 개의 테이블이 필요할까요?,지민은 number0명의 손님이 그의 파티에 온다 . 각 테이블에는 number1명의 손님이 모일 것이다 . 그는 몇 개의 테이블이 필요할까요 ?,"[0, 1, 2, 8, 9, 10, 16, 17, 18]"
Jason had number0 quarters in his bank . His dad gave him number1 quarters . How many quarters does he have now ?,49.0 25.0,+ number0 number1,74.0,"[1, 2, 3, 11, 12, 13, 19, 20, 21]",Jason had number0 quarters in his bank . His dad gave him number1 quarters .,How many quarters does he have now ?,Anderson had 3730 quarters in his bank . His dad gave him 3731 quarters . How many quarters does he have now ?,앤더슨은 그의 은행에 3730쿼터를 가지고 있었다. 그의 아버지는 그에게 3731쿼터를 주었다. 그는 지금 25센트짜리 동전 몇 개를 가지고 있습니까?,민우는 그의 은행에 number0쿼터를 가지고 있었다 . 그의 아버지는 그에게 number1쿼터를 주었다 . 그는 지금 25센트짜리 동전 몇 개를 가지고 있습니까 ?,"[2, 3, 4, 9, 10, 11, 18, 19, 20]"
There are number0 marbles . number1 marbles more are added . How many are there total ?,4.0 7.0,+ number0 number1,11.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 marbles . number1 marbles more are added .,How many are there total ?,There are 3730 marbles . 3731 marbles more are added . How many are there total ?,3730개의 구슬이 있다. 3731개의 구슬이 더 추가되었다. 총 몇 개입니까?,number0개의 구슬이 있다 . number1개의 구슬이 더 추가되었다 . 총 몇 개입니까 ?,"[0, 1, 3, 4, 5, 9, 10, 11]"
"Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked . How many seashells did they find together ?",15.0 43.0 29.0,+ number0 number1,58.0,"[1, 2, 3, 6, 7, 8, 20, 21, 22, 29, 30, 31]","Tom found number0 seashells and Fred found number1 seashells on the beach . When they cleaned them , they discovered that number2 were cracked .",How many seashells did they find together ?,"Anderson found 3730 seashells and Cyndia found 3731 seashells on the beach . When they cleaned them , they discovered that 3732 were cracked . How many seashells did they find together ?","앤더슨은 3730개의 조개를 발견했고 신디아는 해변에서 3731개의 조개를 발견했다. 그들이 그것들을 청소했을 때, 그들은 3732가 금이 갔다는 것을 발견했습니다. 그들은 함께 얼마나 많은 조개껍질을 발견했나요?","윤재는 number0개의 조개를 발견했고 유나는 해변에서 number1개의 조개를 발견했다 . 그들이 그것들을 청소했을 때 , 그들은 number2가 금이 갔다는 것을 발견했습니다 . 그들은 함께 얼마나 많은 조개껍질을 발견했나요 ?","[0, 1, 2, 5, 6, 7, 15, 16, 17, 25, 26, 27]"
Jessica weighs number0 pounds . Thomas weighs number1 pounds . How much heavier is Jessica than Thomas ?,49.0 44.0,- number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Jessica weighs number0 pounds . Thomas weighs number1 pounds .,How much heavier is Jessica than Thomas ?,Anderson weighs 3730 pounds . Cyndia weighs 3731 pounds . How much heavier is Anderson than Cyndia ?,앤더슨은 3730파운드이다. 신디아는 3731파운드이다. 앤더슨은 신디아보다 얼마나 무겁니?,윤재는 number0파운드이다 . 유나는 number1파운드이다 . 윤재는 유나보다 얼마나 무겁니 ?,"[0, 1, 2, 3, 4, 5, 7, 8, 9]"
"At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids , how much would it cost for the group to eat ?",3.0 12.0 7.0,* number0 - number1 number2,15.0,"[7, 8, 9, 17, 18, 19, 22, 23, 24, 34, 35, 36]","At a restaurant each adult meal costs $ number0 and kids eat free . If a group of number1 people came in and number2 were kids ,",how much would it cost for the group to eat ?,"At a restaurant each adult meal costs $ 3730 and kids eat free . If a group of 3731 people came in and 3732 were kids , how much would it cost for the group to eat ?","레스토랑에서 각 성인 식사는 3730달러이고 아이들은 무료로 먹는다. 만약 3731명의 사람들이 들어오고 3732명의 아이들이라면, 그 그룹이 먹는데 얼마가 들겠는가?","레스토랑에서 각 성인 식사는 number0달러이고 아이들은 무료로 먹는다 . 만약 number1명의 사람들이 들어오고 number2명의 아이들이라면 , 그 그룹이 먹는데 얼마가 들겠는가 ?","[3, 4, 5, 9, 10, 11, 12, 13, 14, 18, 19, 20]"
Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles . How many packs of groceries did she buy in all ?,12.0 16.0,+ number0 number1,28.0,"[8, 9, 10, 13, 14, 15, 28, 29, 30]",Lucy went to the grocery store . She bought number0 packs of cookies and number1 packs of noodles .,How many packs of groceries did she buy in all ?,Anderson went to the grocery store . She bought 3730 packs of cookies and 3731 packs of noodles . How many packs of groceries did she buy in all ?,앤더슨은 식료품점에 갔다. 그녀는 3730갑의 쿠키와 3731갑의 국수를 샀다. 그녀는 모두 몇 갑의 식료품을 샀습니까?,서희는 식료품점에 갔다 . 그녀는 number0갑의 쿠키와 number1갑의 국수를 샀다 . 그녀는 모두 몇 갑의 식료품을 샀습니까 ?,"[4, 5, 6, 7, 8, 14, 15, 16]"
"Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all , how many passengers landed in Newberg last year ?",14507.0 213.0,+ number0 number1,14720.0,"[6, 7, 8, 14, 15, 16, 28, 29, 30]","Last year at Newberg 's airport , number0 passengers landed on time . Unfortunately , number1 passengers landed late . In all ,",how many passengers landed in Newberg last year ?,"Last year at Anderson 's airport , 3730 passengers landed on time . Unfortunately , 3731 passengers landed late . In all , how many passengers landed in Anderson last year ?","작년에 앤더슨 공항에 3730명의 승객들이 정시에 착륙했다. 불행하게도, 3731명의 승객들은 늦게 착륙했습니다. 작년에 앤더슨에 착륙한 승객은 모두 몇 명입니까?","작년에 유나 공항에 number0명의 승객들이 정시에 착륙했다 . 불행하게도 , number1명의 승객들은 늦게 착륙했습니다 . 작년에 유나에 착륙한 승객은 모두 몇 명입니까 ?","[2, 3, 4, 9, 10, 11, 19, 20, 21]"
Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald . How many times did they jump altogether ?,157.0 86.0,+ number0 number1,243.0,"[20, 21, 22, 30, 31, 32, 43, 44, 45]",Rupert and Ronald aced their math test . So their mother bought for them a wonderful trampoline yesterday . Ronald jumped number0 times on the trampoline . Rupert jumped number1 more times than Ronald .,How many times did they jump altogether ?,Anderson and Cyndia aced their math test . So their mother bought for them a wonderful trampoline yesterday . Cyndia jumped 3730 times on the trampoline . Anderson jumped 3731 more times than Cyndia . How many times did they jump altogether ?,Anderson과 Cyndia는 수학시험에 합격했다. 그래서 그들의 엄마는 어제 그들에게 멋진 트램펄린을 사주었다. Cyndia는 트램펄린 위에서 3730번 뛰었다. Anderson은 Cyndia보다 3731번 더 뛰었다. 그들은 모두 몇 번 뛰었습니까?,윤재와 서희는 수학시험에 합격했다 . 그래서 그들의 엄마는 어제 그들에게 멋진 트램펄린을 사주었다 . 서희는 트램펄린 위에서 number0번 뛰었다 . 윤재는 서희보다 number1번 더 뛰었다 . 그들은 모두 몇 번 뛰었습니까 ?,"[16, 17, 18, 21, 22, 23, 28, 29, 30]"
"At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars , how much money did Kaleb spend riding the ferris wheel ?",6.0 3.0 9.0,* number2 - number0 number1,27.0,"[4, 5, 6, 14, 15, 16, 22, 23, 24, 33, 34, 35]","At the fair Kaleb bought number0 tickets . After riding the ferris wheel he had number1 tickets left . If each ticket cost number2 dollars ,",how much money did Kaleb spend riding the ferris wheel ?,"At the fair Anderson bought 3730 tickets . After riding the ferris wheel he had 3731 tickets left . If each ticket cost 3732 dollars , how much money did Anderson spend riding the ferris wheel ?","박람회에서 앤더슨은 3730장의 티켓을 샀습니다. 페리스휠을 탄 후에 그는 3731장의 티켓이 남았습니다. 만약 각 티켓이 3732달러라면, 앤더슨은 얼마나 많은 돈을 페리스휠을 타는 데 썼습니까?","박람회에서 민우는 number0장의 티켓을 샀습니다 . 페리스휠을 탄 후에 그는 number1장의 티켓이 남았습니다 . 만약 각 티켓이 number2달러라면 , 민우는 얼마나 많은 돈을 페리스휠을 타는 데 썼습니까 ?","[1, 2, 3, 9, 10, 11, 16, 17, 18, 24, 25, 26]"
Gino has number0 popsicle sticks . I have number1 popsicle sticks . What is the sum of our popsicle sticks ?,63.0 50.0,+ number0 number1,113.0,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Gino has number0 popsicle sticks . I have number1 popsicle sticks .,What is the sum of our popsicle sticks ?,Anderson has 3730 popsicle sticks . I have 3731 popsicle sticks . What is the sum of our popsicle sticks ?,앤더슨은 3730개의 아이스캔디 스틱을 가지고 있다. 나는 3731개의 아이스캔디 스틱을 가지고 있다. 우리 아이스캔디 스틱의 합은 얼마입니까?,지민은 number0개의 아이스캔디 스틱을 가지고 있다 . 나는 number1개의 아이스캔디 스틱을 가지고 있다 . 우리 아이스캔디 스틱의 합은 얼마입니까 ?,"[0, 1, 2, 7, 8, 9, 16, 17, 18]"
"Albert has number0 oranges stored in boxes . If there are number1 boxes , how many oranges must go in each box ?",35.0 7.0,/ number0 number1,5.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]","Albert has number0 oranges stored in boxes . If there are number1 boxes ,",how many oranges must go in each box ?,"Anderson has 3730 oranges stored in boxes . If there are 3731 boxes , how many oranges must go in each box ?","Anderson은 3730개의 오렌지를 박스에 보관합니다. 3731개의 박스가 있다면, 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까?","민우는 number0개의 오렌지를 박스에 보관합니다 . number1개의 박스가 있다면 , 얼마나 많은 오렌지가 각 박스에 들어가야만 합니까 ?","[0, 1, 2, 5, 6, 7, 14, 15, 16]"
"There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups , how big is each group ?",30.0 10.0,/ number0 number1,3.0,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 candies in Kathy 's candy collection . If the candies are organized into number1 groups ,",how big is each group ?,"There are 3730 candies in Anderson 's candy collection . If the candies are organized into 3731 groups , how big is each group ?","앤더슨의 사탕 컬렉션에는 3730개의 사탕이 있습니다. 만약 사탕이 3731개의 그룹으로 조직된다면, 각 그룹은 얼마나 클까요?","민우의 사탕 컬렉션에는 number0개의 사탕이 있습니다 . 만약 사탕이 number1개의 그룹으로 조직된다면 , 각 그룹은 얼마나 클까요 ?","[2, 3, 4, 8, 9, 10, 14, 15, 16]"
There were number0 book shelves . Each book shelf had number1 books . How many books were on the shelves ?,150.0 15.0,* number0 number1,2250.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19]",There were number0 book shelves . Each book shelf had number1 books .,How many books were on the shelves ?,There were 3730 book shelves . Each book shelf had 3731 books . How many books were on the shelves ?,3730개의 책꽂이가 있었다. 각각의 책꽂이는 3731권의 책을 가지고 있었다. 책꽂이에 책이 몇 권이나 있었습니까?,number0개의 책꽂이가 있었다 . 각각의 책꽂이는 number1권의 책을 가지고 있었다 . 책꽂이에 책이 몇 권이나 있었습니까 ?,"[0, 1, 5, 6, 7, 13, 14, 15]"
"Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",48.0 11.0 21.0,- + number0 number2 number1,58.0,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]","Luke had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?,"Anderson had 3730 dollars in January . By March he had spent 3731 dollars . If he got another 3732 dollars from his mom , how much money would he have ?","앤더슨은 1월에 3730달러를 가지고 있었다. 3월까지 그는 3731달러를 썼다. 만약 그가 그의 어머니로부터 3732달러를 더 받았다면, 그는 얼마나 많은 돈을 가지고 있었을까?","윤재는 1월에 number0달러를 가지고 있었다 . 3월까지 그는 number1달러를 썼다 . 만약 그가 그의 어머니로부터 number2달러를 더 받았다면 , 그는 얼마나 많은 돈을 가지고 있었을까 ?","[1, 2, 3, 7, 8, 9, 14, 15, 16, 22, 23, 24]"
A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf . How many shelves did they use ?,120.0 39.0 9.0,/ - number0 number1 number2,9.0,"[2, 3, 4, 19, 20, 21, 33, 34, 35, 42, 43, 44]",A store had number0 coloring books in stock . They ended up putting them on sale and getting rid of number1 of them . The put the ones they still had onto shelves with number2 on each shelf .,How many shelves did they use ?,A store had 3730 coloring books in stock . They ended up putting them on sale and getting rid of 3731 of them . The put the ones they still had onto shelves with 3732 on each shelf . How many shelves did they use ?,한 상점은 3730권의 컬러링북을 보유하고 있었다. 그들은 결국 그것들을 세일해서 3731개를 없앴다. 그들은 각각의 선반에 3732개의 선반이 있는 선반위에 여전히 가지고 있었다. 그들은 얼마나 많은 선반들을 사용하였는가?,한 상점은 number0권의 컬러링북을 보유하고 있었다 . 그들은 결국 그것들을 세일해서 number1개를 없앴다 . 그들은 각각의 선반에 number2개의 선반이 있는 선반위에 여전히 가지고 있었다 . 그들은 얼마나 많은 선반들을 사용하였는가 ?,"[1, 2, 3, 10, 11, 12, 16, 17, 18, 27, 28, 29]"
"Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance , how much money does he have now ?",11.0 3.0 14.0,- + number0 number2 number1,22.0,"[1, 2, 3, 10, 11, 12, 20, 21, 22, 31, 32, 33]","Frank had number0 dollars . At the store he spent $ number1 on a new game . If he got another number2 dollars for his allowance ,",how much money does he have now ?,"Anderson had 3730 dollars . At the store he spent $ 3731 on a new game . If he got another 3732 dollars for his allowance , how much money does he have now ?","앤더슨은 3730달러를 가지고 있었다. 그 가게에서 그는 새 게임에 3731달러를 썼다. 만약 그가 용돈으로 3732달러를 더 받았다면, 그는 지금 얼마나 많은 돈을 가지고 있는가?","지훈은 number0달러를 가지고 있었다 . 그 가게에서 그는 새 게임에 number1달러를 썼다 . 만약 그가 용돈으로 number2달러를 더 받았다면 , 그는 지금 얼마나 많은 돈을 가지고 있는가 ?","[0, 1, 2, 9, 10, 11, 15, 16, 17, 24, 25, 26]"
"A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window , how long will it take him to install the rest ?",12.0 6.0 4.0,* number2 - number0 number1,24.0,"[3, 4, 5, 11, 12, 13, 18, 19, 20, 33, 34, 35]","A new building needed number0 windows . The builder had already installed number1 of them . If it takes number2 hours to install each window ,",how long will it take him to install the rest ?,"A new building needed 3730 windows . The builder had already installed 3731 of them . If it takes 3732 hours to install each window , how long will it take him to install the rest ?","새 건물은 3730개의 창문이 필요했다. 건축업자는 이미 3731개의 창문을 설치했다. 만약 건축업자가 각각의 창문을 설치하는 데 3732시간이 걸린다면, 그가 나머지를 설치하는 데 얼마나 걸릴까?","새 건물은 number0개의 창문이 필요했다 . 건축업자는 이미 number1개의 창문을 설치했다 . 만약 건축업자가 각각의 창문을 설치하는 데 number2시간이 걸린다면 , 그가 나머지를 설치하는 데 얼마나 걸릴까 ?","[1, 2, 3, 7, 8, 9, 17, 18, 19, 24, 25, 26]"
"A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table . How many customers total did the waiter have ?",6.0 3.0 5.0,* number0 + number1 number2,48.0,"[2, 3, 4, 10, 11, 12, 13, 14, 15, 25, 26, 27]","A waiter had number0 tables he was waiting on , with number1 women and number2 men at each table .",How many customers total did the waiter have ?,"A waiter had 3730 tables he was waiting on , with 3731 women and 3732 men at each table . How many customers total did the waiter have ?",웨이터는 3731명의 여자들과 3732명의 남자들과 함께 그가 기다리고 있는 3730개의 테이블을 가지고 있었습니다. 웨이터는 총 몇 명의 손님이 있었습니까?,웨이터는 number1명의 여자들과 number2명의 남자들과 함께 그가 기다리고 있는 number0개의 테이블을 가지고 있었습니다 . 웨이터는 총 몇 명의 손님이 있었습니까 ?,"[0, 1, 2, 3, 4, 8, 9, 10, 17, 18, 19]"
